#код	файл с эмблемой клуба	название	город	год	стадион	мест	сайт
ANGERS	franceANGERS.png	Angers SCO	Angers	1919	Stade Jean Bouin	17100	http://www.angers-sco.fr
AUXERRE	franceAUXERRE.png	AJ Auxerre	Auxerre	1905	Stade de l'Abbé Deschamps	23467	http://www.aja.fr
BASTIA	franceBASTIA.png	SC Bastia	Furian	1905	Stade Armand Césari	16480	http://www.sc-bastia.net
BORDO	franceBORDO.png	FC Girondins de Bordeaux	Bordeaux	1881	Stade Jacques Chaban-Delmas	34263	http://www.girondins.com
CAEN	franceCAEN.png	Stade Malherbe Caen	Caen	1897	Stade Michel d'Ornano	21500	http://www.smcaen.fr
CANNES	franceCANNES.png	Association Sportive de Cannes	Cannes	1902	Stade Pierre de Coubertin	11211	http://www.ascannes.info
GENGAM	franceGENGAM.png	En Avant Guingamp	Guingamp	1912	Stade du Roudourou	18250	http://www.eaguingamp.com
LAVAL	franceLAVAL.png	Stade Lavallois Mayenne FC	Laval	1902	Stade Francis Le Basser	18467	http://www.stade-lavallois.com
LENS	franceLENS.png	Racing Club de Lens	Lens	1906	Stade Bollaert-Delelis	41233	http://www.rclens.fr/
LILLE	franceLILLE.png	Lille OSC Métropole	Villeneuve d'Ascq	1944	Grand Stade Lille Métropole	50157	http://www.losc.fr
LORIENT	franceLORIENT.png	FC Lorient	Lorient	1926	Stade Yves Allainmat - Le Moustoir	18970	http://www.fclweb.fr
METZ	franceMETZ.png	FC Metz	Metz	1932	Stade Saint-Symphorien	26700	http://www.fcmetz.com/
MONACO	franceMONACO.png	AS Monaco FC	Monaco	1919	Stade Louis II.	18523	http://www.asm-fc.com
MONTPEL	franceMONTPEL.png	Montpellier HSC	Montpellier	1974	Stade de la Mosson	32939	http://www.mhscfoot.com
NANCY	franceNANCY.png	AS Nancy-Lorraine	Tomblaine	1967	Stade Marcel Picot	20087	http://www.asnl.net
NANT	franceNANT.png	FC Nantes	Nantes	1943	Stade de la Beaujoire - Louis Fonteneau	38285	http://www.fcnantes.com
NICE	franceNICE.png	OGC de Nice Côte d'Azur	Nice	1904	Stade Municipal du Ray	18696	http://www.ogcnice.com
LYON	franceLYON.png	Olympique Lyonnais	Lyon	1950	Stade de Gerland	41842	http://www.olweb.fr
MARSELLE	franceMARSELLE.png	Olympique de Marseille	Marseille	1899	Stade Vélodrome	60031	http://www.om.net
PSG	francePSG.png	Paris Saint-Germain FC	Paris	1970	Parc des Princes	48428	http://www.psg.fr
REDSTAR	franceREDSTAR.png	Red Star FC 93	Saint-Ouen	1897	Stade de Paris (Stade Bauer)	10000	http://www.redstarfc93.fr/
REIMS	franceREIMS.png	Stade de Reims	Reims	1909	Stade Auguste-Delaune II	21684	http://www.stade-de-reims.com/
RENN	franceRENN.png	Stade Rennais FC	Rennes	1901	Stade de la Route de Lorient	31127	http://www.staderennais.com
ST_ETIEN	franceST_ETIEN.png	AS Saint-Étienne Loire	Saint-Ètienne	1920	Stade Geoffroy-Guichard	35616	http://www.asse.fr
TOULOUSE	franceTOULOUSE.png	Toulouse FC	Toulouse	1937	Stade Municipal	35472	http://www.tfc.info
