#код	файл с эмблемой клуба	название	город	год	стадион	мест	сайт
ATALANTA	italy/ATALANTA.png	Atalanta BC	Bergamo	1907	Stadio Atleti Azzurri d'Italia	24726	http://www.atalanta.it
ASCOLI	italy/ASCOLI.png	Ascoli Calcio 1898	Ascoli Piceno	1898	Stadio Cino e Lillo Del Duca	20853	http://www.ascolicalcio.net
AVELLINO	italy/AVELLINO.png	AS Avellino	Avellino	1912	Stadio Partenio	10215	http://www.asavellino.com
BARI	italy/BARI.png	AS Bari	Bari	1908	Stadio Comunale San Nicola	58270	http://www.asbari.it
BOLOGNA	italy/BOLOGNA.png	Bologna FC 1909	Bologna	1909	Stadio Renato Dall'Ara	36532	http://www.bolognafc.it
BRESCIA	italy/BRESCIA.png	Brescia Calcio	Brescia	1911	Stadio Mario Rigamonti	27547	http://www.bresciacalcio.it
CAGLIARI	italy/CAGLIARI.png	Cagliari Calcio	Cagliari	1920	Stadio Is Arenas	16200	http://www.cagliaricalcio.net
CATANIA	italy/CATANIA.png	Calcio Catania	Catania	1908 / 1946	Stadio Angelo Massimino	23420	http://www.ilcalciocatania.it
CESENA	italy/CESENA.png	AC Cesena	Cesena	1940	Stadio Dino Manuzzi	24026	http://www.cesenacalcio.it
CHIEVO	italy/CHIEVO.png	AC Chievo Verona	Verona	1929	Stadio Marc'Antonio Bentegodi	44799	http://www.chievoverona.it
COMO	italy/COMO.png	Calcio Como	Como	1907	Stadio Giuseppe Sinigaglia	13602	http://www.calciocomo1907.it
EMPOLI	italy/EMPOLI.png	Empoli FC	Empoli	1920	Stadio Carlo Castellani	19847	http://www.empolicalcio.it
FIORE	italy/FIORE.png	ACF Fiorentina	Firenze	1926	Stadio Artemio Franchi	47290	http://it.violachannel.tv
FOGGIA	italy/FOGGIA.png	ACD Foggia Calcio	Foggia	1920	Stadio Comunale Pino Zaccheria	25085	http://www.acdfoggiacalcio.it
FROSINONE	italy/FROSINONE.png	Frosinone Calcio	Frosinone	1928	Stadio Benito Stirpe	16125	http://www.frosinonecalcio.it
GENOA	italy/GENOA.png	Genoa CFC	Genova	1893	Stadio Comunale Luigi Ferraris	36703	http://www.genoacfc.it
HELLAS	italy/HELLAS.png	Hellas Verona FC	Verona	1903	Stadio Marc'Antonio Bentegodi	44799	http://www.hellasverona.it
INTER	italy/INTER.png	FC Internazionale Milano	Milano	1908	Stadio Giuseppe Meazza	82995	http://www.inter.it
JUVENTUS	italy/JUVENTUS.png	Juventus FC	Torino	1897	Juventus Stadium	45666	http://www.juventus.com
JUVEST	italy/JUVEST.png	SS Juve Stabia	Castellammare di Stabia	1907	Stadio Comunale Romeo Menti	7642	http://www.ssjuvestabia.it
LAZIO	italy/LAZIO.png	SS Lazio	Roma	1900	Stadio Olimpico	82656	http://www.sslazio.it
LECCE	italy/LECCE.png	US Lecce	Lecce	1908	Stadio Comunale Via del Mare	33876	http://www.uslecce.it
LIVORNO	italy/LIVORNO.png	AS Livorno Calcio	Livorno	1915	Stadio Armando Picchi	19238	http://www.livornocalcio.it
MILAN	italy/MILAN.png	AC Milan	Milano	1899	Stadio Giuseppe Meazza	82995	http://www.acmilan.com
MODENA	italy/MODENA.png	Modena FC	Modena	1912	Stadio Alberto Braglia	20507	http://www.modenafc.net
NAPOLI	italy/NAPOLI.png	SSC Napoli	Napoli	1904 / 1926 / 2004	Stadio San Paolo	76824	http://www.sscnapoli.it
NOVARA	italy/NOVARA.png	Novara Calcio	Novara	1908	Stadio Comunale Silvio Piola	17875	http://www.novaracalcio.com
PALERMO	italy/PALERMO.png	US Città di Palermo	Palermo	1900	Stadio Renzo Barbera	37242	http://www.ilpalermocalcio.it
PARMA	italy/PARMA.png	Parma FC	Parma	1913 / 2004	Stadio Ennio Tardini	28783	http://www.fcparma.com
PISA	italy/PISA.png	Pisa Calcio	Pisa	1909	Arena Garibaldi - Stadio Romeo Anconetani	17500	http://www.acpisa1909.it
RIMINI	italy/RIMINI.png	Rimini Calcio FC	Rimini	1912	Stadio Romeo Neri	9798	http://www.riminicalcio.com
ROMA	italy/ROMA.png	AS Roma	Roma	1927	Stadio Olimpico	82656	http://www.asroma.it
SASSUOLO	italy/SASSUOLO.png	US Sassuolo Calcio	Sassuolo	1922	Stadio Città del Tricolore	29546	http://www.sassuolocalcio.it/
SALER	italy/SALER.png	US Salernitana 1919	Salerno	2011	Stadio Arechi	37245	http://www.salernocalcio1919.it/
SAMPDORIA	italy/SAMPDOR.png	UC Sampdoria	Genova	1946	Stadio Comunale Luigi Ferraris	36703	http://www.sampdoria.it
SIENA	italy/SIENA.png	Robur Siena S.S.D.	Siena	1904	Stadio Comunale Artemio Franchi - Montepaschi Arena	15373	http://www.robursiena.it
SPAL	italy/SPAL.png	Società Polisportiva Ars et Labor	Ferrara	1907/2013	Stadio Paolo Mazza	19000	http://www.spalferrara.it
TERNANA	italy/TERNANA.png	Ternana Calcio	Terni	1925	Stadio Libero Liberati	17460	http://www.ternanacalcio.com
TORINO	italy/TORINO.png	Torino FC	Torino	1906	Stadio Olimpico di Torino	27994	http://www.torinofc.it
UDINESE	italy/UDINESE.png	Udinese Calcio	Udine	1896	Stadio Communale Friuli	41652	http://www.udinese.it
VENEZIA	italy/VENEZIA.png	Venezia FC	Mestre	1907	Stadio Pierluigi Penzo	7426	http://www.veneziafc.club
