#код	файл с эмблемой клуба	название	город	год	стадион	мест	сайт
DENHAAG	netherlands/DENHAAG.png	HFC ADO Den Haag	Den Haag	1905	Kyocera Stadion	15000	http://www.adodenhaag.nl
AJAX	netherlands/AJAX.png	AFC Ajax	Amsterdam	1900	Amsterdam ArenA	53052	http://www.ajax.nl
AZALK	netherlands/AZALK.png	Alkmaar Zaanstreek	Alkmaar	1967	AFAS Stadion	17023	http://www.az.nl
CAMBUUR	netherlands/CAMBUUR.png	SC Cambuur Leeuwarden	Leeuwarden	1964	Cambuurstadion	11230	http://www.cambuur.nl
EINDH	netherlands/EINDH.png	FC Eindhoven	Eindhoven	1909	Jan Louwers Stadion	5400	http://www.fc-eindhoven.nl
FEYEN	netherlands/FEYEN.png	Feyenoord Rotterdam	Rotterdam	1908	Stadion Feijenoord	51777	http://www.feyenoord.nl
GRAAF	netherlands/GRAAF.png	BV De Graafschap	Doetinchem	1954	Stadion De Vijverberg	12600	http://www.degraafschap.nl
GRONING	netherlands/GRONING.png	FC Groningen	Groningen	1971	Euroborg	22579	http://www.fcgroningen.nl
HEEREN	netherlands/HEEREN.png	SC Heerenveen	Heerenveen	1920	Abe Lenstra Stadion	26800	http://www.sc-heerenveen.nl
HERACL	netherlands/HERACL.png	Heracles Almelo	Almelo	1903	Polman Stadion	12400	http://www.heracles.nl
BREDA	netherlands/BREDA.png	NAC Breda	Breda	1912	Rat Verlegh Stadion	19000	http://www.nac.nl/
PSV	netherlands/PSV.png	PSV Eindhoven	Eindhoven	1913	Philips Stadion	35119	http://www.psv.nl
RODA	netherlands/RODA.png	SV Roda JC	Kerkrade	1962	Parkstad Limburg Stadion	19979	http://www.rodajc.nl
TELSTAR	netherlands/TELSTAR.png	SC Telstar	Velsen-Zuid	1912	Rabobank IJmond Stadion	4663	http://www.sctelstar.nl
TWENTE	netherlands/TWENTE.png	FC Twente	Enschede	1965	De Grolsch Veste	30014	http://www.fctwente.nl
UTRECT	netherlands/UTRECT.png	FC Utrecht	Utrecht	1970	Stadion Galgenwaard	24426	http://www.fcutrecht.nl
VITESSE	netherlands/VITESSE.png	SBV Vitesse	Arnhem	1892	GelreDome	28278	http://www.vitesse.nl/
VVV	netherlands/VVV.png	VVV Venlo	Venlo	1954	Seacon Stadion De Koel	8000	http://www.vvv-venlo.nl
WILLEM	netherlands/WILLEM.png	Willem II	Tilburg	1896	Koning Willem II Stadion	14637	http://www.willem-ii.nl
ZWOLLE	netherlands/ZWOLLE.png	PEC Zwolle	Zwolle	1990	IJsseldelta Stadion	12500	http://www.peczwolle.nl
