#код	файл с эмблемой клуба	название	город	год	стадион	мест	сайт
AVANGARD	russiaAVANGARD.png	ФК Авангард Курск	Курск	1958	Стадион "Трудовые Резервы"	11329	http://www.fc-avangard.ru
ALANIA	russiaALANIA.png	ФК Алания (Спартак) Владикавказ	Владикавказ	1921/2011	Республиканский стадион "Спартак"	32464	http://www.spartak-vladikavkaz.ru
AMKAR	russiaAMKAR.png	ФК Амкар Пермь	Пермь	1994	Стадион "Звезда"	20000	http://fc-amkar.org
ANZHI	russiaANZHI.png	ФК Анжи Махачкала	Каспийск	1991	Анжи-Арена	31000	http://www.fc-anji.ru
ARSENALT	russiaARSENALT.png	ФК Арсенал Тула	Тула	2008	Стадион "Арсенал"	20048	http://arsenaltula.ru
BALTIKA	russiaBALTIKA.png	ФК Балтика Калининград	Калининград	1954	Стадион "Балтика"	14664	http://www.fc-baltika.ru
BIOLOG	russiaBIOLOG.png	ФК Биолог Новокубанск	Новокубанск		Стадион "Биолог"	2300	http://fcbiolog.ru
VOLGA-T	russiaVOLGA-T.png	ФК Волга Тверь	Тверь	1957	Стадион "Химик"	7680	http://www.fc-volga.ru
KAVKAZ	russiaKAVKAZ.png	ФК Газпром Трансгаз Ставрополь	Рыздвяный	1986	Стадион "Факел"	1290	http://www.fc-gts.ru
DIN-BRN	russiaDIN-BRN.png	ФК Динамо Барнаул	Барнаул		Стадион "Динамо"	15000	http://www.fc-dinamo-barnaul.ru
DIN-B	russiaDIN-B.png	ФК Динамо Брянск	Брянск	1931	Стадион "Динамо"	10100	http://www.fkdb.ru
DIN-M	russiaDIN-M.png	ФК Динамо Москва	Москва	1923	Арена "Химки"	18636	http://www.fcdinamo.ru
DIN-SP	russiaDIN-SP.png	ФК Динамо Санкт-Петербург	Санкт-Петербург	2010	Малая спортивная арена	3000	http://www.fcdynamospb.ru
DIN-ST	russiaDIN-ST.png	ФК Динамо Ставрополь	Ставрополь	1924	Стадион "Динамо"	15982	http://www.dynamost.ru
ENISEY	russiaENISEY.png	ФК Енисей Красноярск	Красноярск	1937	Центральный стадион	32500	http://www.fc-enisey.ru/
ZENIT-SP	russiaZENIT-SP.png	ФК Зенит Санкт-Петербург	Санкт-Петербург	1925	Стадион Петровский	21838	http://www.fc-zenit.ru
KRASNODAR	russiaKRASNODAR.png	ФК Краснодар	Краснодар	2007	Стадион "Кубань"	35200	http://www.fckrasnodar.ru
KRSOV	russiaKRSOV.png	ПФК Крылья Советов Самара	Самара	1942	Стадион "Металлург"	33001	http://www.kc-camapa.ru
KUBAN	russiaKUBAN.png	ФК Кубань Краснодар	Краснодар	1928	Стадион "Кубань"	35200	http://www.fckuban.ru
LOKO	russiaLOKO.png	ФК Локомотив Москва	Москва	1923	Стадион "Локомотив"	28800	http://www.fclm.ru
MASHUK	russiaMASHUK.png	ФК Машук-КМВ Пятигорск	Пятигорск	1936	Центральный стадион "Машук"	10365	http://www.fc-mashuk.ru/
MORDOV	russiaMORDOV.png	ФК Мордовия Саранск	Саранск	1961	Стадион "Старт"	12000	http://www.fc-mordovia.ru/
MOSCOW	russiaMOSCOW.png	ФК Москва	Москва	1997	Стадион "Торпедо" им. Эдуарда Стрельцова	14274	http://www.fcmoscow.ru
ROSTOV	russiaROSTOV.png	ФК Ростов	Ростов-на-Дону	1930	Стадион "Олимп 2"	15840	http://www.fc-rostov.ru
ROTOR	russiaROTOR.png	ФК Ротор Волгоград	Волгоград	1929	Центральный стадион "Ротор"	32120	http://www.rotor-fc.com
RUBIN	russiaRUBIN.png	ФК Рубин Казань	Казань	1958	Центральный стадион "Казань"	30133	http://www.rubin-kazan.ru
SATURN	russiaSATURN.png	ФК Сатурн Московская область	Раменское	1946	Стадион "Сатурн"	16726	http://www.saturn-fc.ru
SIBIR	russiaSIBIR.png	ФК Сибирь Новосибирск	Новосибирск	1936	Стадион "Спартак"	12567	http://www.fc-sibir.ru
SKA-R	russiaSKA-R.png	ФК СКА Ростов-на-Дону	Ростов-на-Дону	1937	Стадион СКА СКВО	27300	http://www.ska-rostov.ru
HABAR	russiaHABAR.png	ФК СКА Хабаровск	Хабаровск	1946	Стадион им. В. И. Ленина	15200	http://www.fc-skaenergy.ru
SOKOL	russiaSOKOL.png	ФК Сокол Саратов	Саратов	2005	Стадион "Локомотив"	15260	http://www.sokol-saratov.ru
SPARTAK	russiaSPARTAK.png	ФК Спартак Москва	Москва	1922	Олимпийский стадион "Лужники"	84745	http://spartak.com
