#код	файл с эмблемой клуба	название	город	год	стадион	мест	сайт
ALBACETE	spain/ALBACETE.png	Albacete Balompié	Albacete	1940	Estadio Carlos Belmonte	17300	http://www.albacetebalompie.com
ALAVES	spain/ALAVES.png	Deportivo Alavés	Vitoria-Gasteiz	1921	Estadio de Mendizorroza	19900	http://www.alaves.com
ALMERIA	spain/ALMERIA.png	UD Almería	Almería	1989	Estadio de los Juegos Mediterráneos	21350	http://www.udalmeriasad.com
ATHLETIC	spain/ATHLETIC.png	Athletic Club Bilbao	Bilbao	1898	San Mamés Barria	53332	http://www.athletic-club.net
ATLETICO	spain/ATLETICO.png	Club Atlético de Madrid	Madrid	1903	Estadio Vicente Calderón	54851	http://www.clubatleticodemadrid.com
BARCELONA	spain/BARCELONA.png	FC Barcelona	Barcelona	1899	Camp Nou	99787	http://www.fcbarcelona.com
BETIS	spain/BETIS.png	Real Betis Balompié	Sevilla	1907	Estadio Benito Villamarín	56500	http://www.realbetisbalompie.es
CADIZ	spain/CADIZ.png	Cádiz CF	Cádiz	1910	Estadio Ramón de Carranza	22000	http://www.cadizcf.com
CELTA	spain/CELTA.png	Real Club Celta de Vigo	Vigo	1923	Estadio de Balaídos	31800	http://www.celtavigo.net
CORDOBA	spain/CORDOBA.png	Córdoba CF	Córdoba	1954	Estadio Nuevo Arcángel	25100	http://www.cordobacf.com
DEPOR	spain/DEPOR.png	Real Club Deportivo de La Coruña	A Coruña (La Coruña)	1906	Estadio Municipal de Riazor	34600	http://www.canaldeportivo.com
EIBAR	spain/EIBAR.png	SD Eibar	Eibar	1940	Estadio Municipal de Ipurúa	6479	http://www.sdeibar.com
ESPANYOL	spain/ESPANYOL.png	Reial Club Deportiu Espanyol	Cornellà de Llobregat (Barcelona)	1900	Estadi Cornellà-El Prat	40423	http://www.rcdespanyol.com
GETAFE	spain/GETAFE.png	Getafe Club de Fútbol	Getafe (Madrid)	1983	Coliseum Alfonso Pérez	17700	http://www.getafecf.com
GIJON	spain/GIJON.png	Real Sporting de Gijón	Gijón	1905	Estadio Municipal El Molinón	29538	http://www.realsporting.com
NASTIC	spain/NASTIC.png	Club Gimnàstic de Tarragona	Tarragona	1914	Nou Estadi de Tarragona	1660	http://www.gimnasticdetarragona.com
GIRONA	spain/GIRONA.png	Girona FC	Girona	1930	Estadi Municipal de Montilivi	11056	http://www.gironafutbolclub.com
GRANADA	spain/GRANADA.png	Granada CF	Granada	1931	Estadio Nuevo Los Cármenes	23156	http://www.granadacf.es
LASPALMAS	spain/LASPALMAS.png	UD Las Palmas	Las Palmas de Gran Canaria	1949	Estadio de Gran Canaria	31250	http://www.udlaspalmas.es
LEGANES	spain/LEGANES.png	CD Leganés	Leganés	1928	Estadio Municipal de Butarque	10958	http://www.deportivoleganes.com
LEVANTE	spain/LEVANTE.png	Levante UD	Valencia	1909	Estadio Ciudad de Valencia	25534	http://www.levanteud.com
MALAGA	spain/MALAGA.png	Málaga Club de Fútbol	Málaga	1948	Estadio La Rosaleda	29500	http://www.malagacf.com
MALLORCA	spain/MALLORCA.png	Real Club Deportivo Mallorca	Palma de Mallorca	1916	Iberostar Estadi	23142	http://www.rcdmallorca.es
NUMANCIA	spain/NUMANCIA.png	CD Numancia de Soria	Soria	1945	Nuevo Estadio Los Pajaritos	9025	http://www.cdnumancia.com
OSASUNA	spain/OSASUNA.png	CA Osasuna	Pamplona (Iruñea)	1920	Estadio El Sadar	19800	http://www.osasuna.es
PONFER	spain/PONFER.png	SD Ponferradina	Ponferrada	1922	Estadio El Toralín	8800	http://www.sdponferradina.com
RAYOVAL	spain/RAYOVAL.png	Rayo Vallecano	Madrid	1924	Estadio del Rayo Vallecano	15500	http://www.rayovallecano.es
REAL	spain/REAL.png	Real Madrid Club de Fútbol	Madrid	1902	Estadio Santiago Bernabéu	85454	http://www.realmadrid.com
OVIEDO	spain/OVIEDO.png	Real Oviedo CF	Oviedo	1926	Estadio Nuevo Carlos Tartiere	29862	http://www.realoviedo.es
SOCIEDAD	spain/SOCIEDAD.png	Real Sociedad de Fútbol	Donostia-San Sebastián	1909	Estadio Municipal de Anoeta	32076	http://www.realsociedad.com
VALLADOL	spain/VALLADOL.png	Real Valladolid CF	Valladolid	1928	Estadio Municipal José Zorrilla	26512	http://www.realvalladolid.es
ZARAGOZA	spain/ZARAGOZA.png	Real Zaragoza	Zaragoza	1932	Estadio de la Romareda	34596	http://www.realzaragoza.com
REUS	spain/REUS.png	CF Reus Deportiu	Reus	1909	Estadio Camp Nou Municipal	4847	http://www.cfreusdeportiu.com
SEVILLA	spain/SEVILLA.png	Sevilla FC	Sevilla	1905	Estadio Ramón Sánchez Pizjuán	48649	http://www.sevillafc.es
TENERIFE	spain/TENERIFE.png	CD Tenerife	Santa Cruz de Tenerife	1922	Estadio Heliodoro Rodríguez Lopéz	23660	http://www.clubdeportivotenerife.es
VALENCIA	spain/VALENCIA.png	Valencia Club de Fútbol	Valencia	1919	Estadio de Mestalla	55000	http://www.valenciacf.com
VILLAR	spain/VILLAR.png	Villarreal Club de Fútbol	Villarreal	1923	Camp El Madrigal	24500	http://www.villarrealcf.es
