#код	файл с эмблемой клуба	название	город	год	стадион	мест	сайт
AARAU	switzerland/AARAU.png	FC Aarau	Aarau	1902	Stadion Brügglifeld	9249	http://www.fcaarau.ch
BADEN	switzerland/BADEN.png	FC Baden	Baden-Dättwil	1897	Stadion ESP	7000	http://www.fcbaden.ch
BASEL	switzerland/BASEL.png	FC Basel 1893	Basel	1893	St. Jakob-Park	38512	http://www.fcb.ch
BASEL2	switzerland/BASEL.png	FC Basel II	Basel	1893	Leichtathletik-Stadion St. Jakob	6000	http://www.fcb.ch
BAVOIS	switzerland/BAVOIS.png	FC Bavois	Bavois	1941	Stade des Peupliers	1000	http://http://fcbavois.ch
BELLIN	switzerland/BELLIN.png	AC Bellinzona	Bellinzona	1904	Stadio Comunale	6000	http://www.acbellinzona.ch
BRUHL	switzerland/BRUHL.png	SC Brühl St. Gallen	St. Gallen	1901	Paul-Grüninger-Stadion	5500	http://www.sc-bruehl.ch
CHAM	switzerland/CHAM.png	SC Cham	Cham	1910	Stadion Eizmoos	1800	https://www.sccham.ch
CHIASSO	switzerland/CHIASSO.png	FC Chiasso	Chiasso	1905	Stadio Comunale di Chiasso	11168	http://www.fcchiasso.ch
GRASSH	switzerland/GRASSH.png	Grasshopper Club Zürich	Zürich	1886	Stadion Letzigrund	26104	http://www.gcz.ch
KRIENS	switzerland/KRIENS.png	SC Kriens	Kriens	1944	Stadion Kleinfeld	5360	http://www.sckriens.ch
FCC	switzerland/FCC.png	FC La Chaux-de-Fonds	La Chaux-de-Fonds	1894	Stade de la Charrière	12700	http://www.fccnet.ch
FCLS	switzerland/FCLS.png	FC Lausanne Sport	Lausanne	1896	Stade Olympique de la Pontaise	15876	http://www.lausanne-sport.ch
LUGANO	switzerland/LUGANO.png	FC Lugano	Lugano	1908	Stadio di Cornaredo	14873	http://www.fclugano.com
LUZERN	switzerland/LUZERN.png	FC Luzern	Luzern	1901	swissporarena	17800	http://www.fcl.ch
XAMAX	switzerland/XAMAX.png	Neuchâtel Xamax FCS	Neuchâtel	1970	Stade de la Maladière	12500	http://www.xamax.ch
OLDBOTS	switzerland/OLDBOYS.png	BSC Old Boys	Basel	1894	Stadion Schützenmatte	8000	http://www.oldboys.ch
RAPPER	switzerland/RAPPER.png	FC Rapperswil-Jona	Jona	1928	Sportstadion Grünfeld	3904	https://www.fcrj.ch
SCHAFF	switzerland/SCHAFF.png	FC Schaffhausen	Schaffhausen	1896	LIPO Park Schaffhausen	8200	http://www.fcschaffhausen.ch
SERVET	switzerland/SERVET.png	Servette FC	Carouge	1890	Stade de Genève	30084	http://www.servettefc.ch
SION	switzerland/SION.png	FC Sion	Sion	1909	Stade de Tourbillon	16263	http://www.fc-sion.ch
SION2	switzerland/SION.png	FC Sion II	Sion	2003	Stade de Tourbillon	16263	http://www.fc-sion-live.ch
STGALL	switzerland/STGALL.png	FC Sankt Gallen 1879	St. Gallen	1879	Kybunpark	19694	http://www.fcsg.ch
NYON	switzerland/NYON.png	FC Stade Nyonnais	Nyon	1905	Centre sportif de Colovray	7200	http://www.stadenyonnais.ch
THUN	switzerland/THUN.png	FC Thun	Thun	1898	Stockhorn Arena	10398	http://www.fcthun.ch
VADUZ	switzerland/VADUZ.png	FC Vaduz	Vaduz	1932	Rheinpark Stadion	7838	http://www.fcvaduz.li
WIL	switzerland/WIL.png	FC Wil 1900	Wil	1900	IGP Arena	6958	http://www.fcwil.ch
WINTER	switzerland/WINTER.png	FC Winterthur	Winterthur	1896	Stadion Schützenwiese	14987	http://www.fcwinterthur.ch
WOHLEN	switzerland/WOHLEN.png	FC Wohlen	Wohlen	1904	Stadion Niedermatten	4100	http://www.fcwohlen.ch
YOUNGB	switzerland/YOUNGB.png	BSC Young Boys	Bern	1898	STADE DE SUISSE Wankdorf	31783	http://www.bscyb.ch
YFJUVE	switzerland/YFJUVE.png	SC Young Fellows Juventus	Zürich	1992	Sportanlage Juchhof 1 - Kunstrasen Platz 4	1500	http://www.yfjuventus.ch
YVERDON	switzerland/YVERDON.png	Yverdon Sport FC	Yverdon-les-Bains	1948	Stade Municipal	7600	http://www.yverdonsport.ch
ZURICH	switzerland/ZURICH.png	FC Zürich	Zürich	1896	Stadion Letzigrund	26104	http://www.fcz.ch
ZURICH2	switzerland/ZURICH.png	FC Zürich II	Zürich	1896	Sportanlage Heerenschürli	522	http://www.fcz.ch
