#код	файл с эмблемой клуба	название	город	год	стадион	мест	сайт
ARSENALK	ukraineARSENAL.png	ФК Арсенал Киев	Киев	1934	Стадион "Динамо" им. Валерия Лобановского	17000	http://arsenal-kyiv.com
VOLYN	ukraineVOLYN.png	ФК Волынь Луцк	Луцк	1960	Стадион "Авангард"	12080	http://www.fcvolyn.net
DIN-K	ukraineDIN-K.png	ФК Динамо Киев	Киев	1927	НСК "Олимпийский"	70050	http://www.fcdynamo.kiev.ua
DNEPR	ukraineDNEPR.png	ФК Днепр Днепропетровск	Днепропетровск	1918	Днепр Арена	31003	http://www.fcdnipro.dp.ua
VORSKLA	ukraineVORSKLA.png	ФК Ворскла Полтава	Полтава	1955	Стадион "Ворскла" им. Алексея Бутовского	24795	http://www.vorskla.com.ua/
ZARYA-L	ukraineZARYA-L.png	ФК Заря Луганск	Луганск	1923	Стадион "Авангард"	22288	http://www.zarya-lugansk.com
ZIRKA	ukraineZIRKA.png	ФК Зирка Кропивницкий	Кропивницкий	1922	Стадион "Зирка"	14628	http://www.fczirka.com.ua
ILLICH	ukraineILLICH.png	ФК Ильичёвец Мариуполь	Мариуполь	1938	Стадион "Ильичёвец"	12680	http://www.fcilich.com
KARPATY	ukraineKARPATY.png	ФК Караты Львов	Львов	1963	Стадион "Украина"	28051	http://www.fckarpaty.lviv.ua
KRIVBAS	ukraineKRIVBAS.png	ФК Кривбас Кривой Рог	Кривой Рог	1959	Стадион "Металлург"	29783	http://www.fckryvbas.com.ua/
METAL	ukraineMETAL.png	ФК Металист Харьков	Харьков	1925	Областной спорткомплекс "Металист"	41307	http://www.metalist.ua/
MET-D	ukraineMET-D.png	ФК Металлург Донецк	Донецк	1996	Стадион "Металлург"	5194	http://metallurg.donetsk.ua/
MET-Z	ukraineMET-Z.png	ФК Металлург Запорожье	Запорожье	1935	Стадион "Славутич-Арена"	12000	http://http://www.fcmetalurg.com/
NIVA-V	ukraineNIVA-V.png	ПФК Нива Винница	Винница	1958	Центральный городской стадион	14000	http://fcniva.vn.ua
NIKOLAEV	ukraineNIKOLAEV.png	МФК Николаев	Николаев	1920	Центральный городской стадион	25175	http://mfc.mk.ua
OLIMPIK	ukraineOLIMPIK.png	ФК Олимпик Донецк	Донецк	2001	Стадион СК Олимпик	1320	http://olimpik.com.ua
OBOLON	ukraineOBOLON.png	ФК Оболонь Киев	Киев	1992	Оболонь Арена	5103	http://www.facebook.com/soccerway
SEVAST	ukraineSEVAS.png	ПФК Севастополь	Севастополь	2002	СК "Севастополь"	5864	http://www.fcsevastopol.com
STAL	ukraineSTAL.png	ФК Сталь Днепродзержинск	Днепродзержинск	1926	Стадион "Металлург"	2900	http://www.fcstal.com.ua
CHERN	ukraineCHERN.png	ФК Черноморец Одесса	Одесса	1936	Стадион "Черноморец"	34164	http://www.chernomorets.odessa.ua
SHAH-D	ukraineSHAH-D.png	ФК Шахтер Донецк	Донецк	1936	Донбасс Арена	53423	http://www.shakhtar.com
